%
%
% Run:TEST  Table:COMPGRID          SWAN version:41.20
%
%       Xp            Yp            Hsig          Dir           RTpeak        TDir     
%       [m]           [m]           [m]           [degr]        [sec]         [degr]   
%
         690.          200.       1.00023         0.061        9.5726         0.061 
         700.          200.       0.99998         0.077        9.5726         0.077 
         710.          200.       0.99969         0.096        9.5726         0.096 
         720.          200.       0.99935         0.118        9.5726         0.118 
         730.          200.       0.99897         0.141        9.5726         0.141 
         740.          200.       0.99854         0.166        9.5726         0.166 
         750.          200.       0.99806         0.193        9.5726         0.193 
         760.          200.       0.99754         0.222        9.5726         0.222 
         770.          200.       0.99699         0.252        9.5726         0.252 
         780.          200.       0.99639         0.283        9.5726         0.283 
         790.          200.       0.99576         0.316        9.5726         0.316 
         800.          200.       0.99510         0.349        9.5726         0.349 
         810.          200.       0.99440         0.382        9.5726         0.382 
         820.          200.       0.99368         0.417        9.5726         0.417 
         830.          200.       0.99294         0.451        9.5726         0.451 
         840.          200.       0.99217         0.486        9.5726         0.486 
         850.          200.       0.99138         0.521        9.5726         0.521 
         860.          200.       0.99058         0.556        9.5726         0.556 
         870.          200.       0.98976         0.591        9.5726         0.591 
         880.          200.       0.98893         0.626        9.5726         0.625 
         890.          200.       0.98808         0.660        9.5726         0.660 
         900.          200.       0.98723         0.694        9.5726         0.694 
         910.          200.       0.98638         0.728        9.5726         0.728 
         920.          200.       0.98552         0.761        9.5726         0.761 
         930.          200.       0.98465         0.794        9.5726         0.794 
         940.          200.       0.98379         0.826        9.5726         0.826 
         950.          200.       0.98292         0.858        9.5726         0.858 
         960.          200.       0.98206         0.889        9.5726         0.888 
         970.          200.       0.98120         0.919        9.5726         0.919 
         980.          200.       0.98035         0.948        9.5726         0.948 
         990.          200.       0.97950         0.977        9.5726         0.977 
        1000.          200.       0.97865         1.004        9.5726         1.003 
           0.          210.       1.00106         0.000        9.5726         0.000 
          10.          210.       1.00106         0.000        9.5726         0.000 
          20.          210.       1.00106         0.000        9.5726         0.000 
          30.          210.       1.00105         0.000        9.5726         0.000 
          40.          210.       1.00105         0.000        9.5726         0.000 
          50.          210.       1.00105         0.000        9.5726         0.000 
          60.          210.       1.00105         0.000        9.5726         0.000 
          70.          210.       1.00105         0.000        9.5726         0.000 
          80.          210.       1.00105         0.000        9.5726         0.000 
          90.          210.       1.00105         0.000        9.5726         0.000 
         100.          210.       1.00105         0.000        9.5726         0.000 
         110.          210.       1.00105         0.000        9.5726         0.000 
         120.          210.       1.00105         0.000        9.5726         0.000 
         130.          210.       1.00105         0.000        9.5726         0.000 
         140.          210.       1.00105         0.000        9.5726         0.000 
         150.          210.       1.00105         0.000        9.5726         0.000 
         160.          210.       1.00105         0.000        9.5726         0.000 
         170.          210.       1.00105         0.000        9.5726         0.000 
         180.          210.       1.00105         0.000        9.5726         0.000 
         190.          210.       1.00104         0.000        9.5726         0.000 
         200.          210.       1.00104         0.000        9.5726         0.000 
         210.          210.       1.00104         0.000        9.5726         0.000 
         220.          210.       1.00104         0.000        9.5726         0.000 
         230.          210.       1.00104         0.000        9.5726         0.000 
         240.          210.       1.00104         0.000        9.5726         0.000 
         250.          210.       1.00104         0.000        9.5726         0.000 
         260.          210.       1.00104         0.000        9.5726         0.000 
         270.          210.       1.00104         0.000        9.5726         0.000 
         280.          210.       1.00104         0.000        9.5726         0.000 
         290.          210.       1.00104         0.000        9.5726         0.000 
         300.          210.       1.00104         0.000        9.5726         0.000 
         310.          210.       1.00104         0.000        9.5726         0.000 
         320.          210.       1.00104         0.000        9.5726         0.000 
         330.          210.       1.00104         0.000        9.5726         0.000 
         340.          210.       1.00103         0.000        9.5726         0.000 
         350.          210.       1.00103         0.000        9.5726         0.000 
         360.          210.       1.00103         0.000        9.5726         0.000 
         370.          210.       1.00103         0.000        9.5726         0.000 
         380.          210.       1.00103         0.000        9.5726         0.000 
         390.          210.       1.00103         0.000        9.5726         0.000 
         400.          210.       1.00103         0.000        9.5726         0.000 
         410.          210.       1.00103         0.000        9.5726         0.000 
         420.          210.       1.00103         0.000        9.5726         0.000 
         430.          210.       1.00103         0.000        9.5726         0.000 
         440.          210.       1.00103         0.000        9.5726         0.000 
         450.          210.       1.00103         0.000        9.5726         0.000 
         460.          210.       1.00103         0.000        9.5726         0.000 
         470.          210.       1.00103         0.000        9.5726         0.000 
         480.          210.       1.00103         0.000        9.5726         0.000 
         490.          210.       1.00103         0.000        9.5726         0.000 
         500.          210.       1.00103         0.000        9.5726         0.000 
         510.          210.       1.00102         0.000        9.5726         0.000 
         520.          210.       1.00102         0.000        9.5726         0.000 
         530.          210.       1.00102         0.000        9.5726         0.000 
         540.          210.       1.00102         0.000        9.5726         0.000 
         550.          210.       1.00102         0.000        9.5726         0.000 
         560.          210.       1.00102         0.000        9.5726       360.000 
         570.          210.       1.00102       360.000        9.5726       360.000 
         580.          210.       1.00102         0.000        9.5726         0.000 
         590.          210.       1.00102         0.001        9.5726         0.000 
         600.          210.       1.00101         0.002        9.5726         0.001 
         610.          210.       1.00099         0.003        9.5726         0.003 
         620.          210.       1.00096         0.007        9.5726         0.006 
         630.          210.       1.00090         0.011        9.5726         0.011 
         640.          210.       1.00083         0.018        9.5726         0.018 
         650.          210.       1.00071         0.027        9.5726         0.027 
         660.          210.       1.00056         0.038        9.5726         0.038 
         670.          210.       1.00037         0.052        9.5726         0.052 
         680.          210.       1.00013         0.068        9.5726         0.068 
         690.          210.       0.99984         0.088        9.5726         0.088 
         700.          210.       0.99950         0.110        9.5726         0.110 
         710.          210.       0.99910         0.134        9.5726         0.134 
         720.          210.       0.99866         0.161        9.5726         0.161 
         730.          210.       0.99816         0.190        9.5726         0.190 
         740.          210.       0.99761         0.220        9.5726         0.220 
         750.          210.       0.99702         0.253        9.5726         0.252 
         760.          210.       0.99638         0.286        9.5726         0.286 
         770.          210.       0.99570         0.321        9.5726         0.321 
         780.          210.       0.99499         0.357        9.5726         0.357 
         790.          210.       0.99424         0.393        9.5726         0.393 
         800.          210.       0.99346         0.430        9.5726         0.430 
         810.          210.       0.99265         0.467        9.5726         0.467 
         820.          210.       0.99182         0.505        9.5726         0.505 
         830.          210.       0.99097         0.542        9.5726         0.542 
         840.          210.       0.99010         0.580        9.5726         0.580 
         850.          210.       0.98921         0.617        9.5726         0.617 
         860.          210.       0.98831         0.654        9.5726         0.654 
         870.          210.       0.98740         0.691        9.5726         0.691 
         880.          210.       0.98649         0.727        9.5726         0.727 
         890.          210.       0.98557         0.763        9.5726         0.763 
         900.          210.       0.98464         0.798        9.5726         0.798 
         910.          210.       0.98371         0.833        9.5726         0.833 
         920.          210.       0.98279         0.867        9.5726         0.867 
         930.          210.       0.98186         0.900        9.5726         0.900 
         940.          210.       0.98094         0.933        9.5726         0.933 
         950.          210.       0.98002         0.965        9.5726         0.965 
         960.          210.       0.97911         0.996        9.5726         0.996 
         970.          210.       0.97821         1.026        9.5726         1.026 
         980.          210.       0.97731         1.055        9.5726         1.055 
         990.          210.       0.97642         1.083        9.5726         1.083 
        1000.          210.       0.97555         1.109        9.5726         1.109 
           0.          220.       1.00106         0.000        9.5726         0.000 
          10.          220.       1.00106         0.000        9.5726         0.000 
          20.          220.       1.00106         0.000        9.5726         0.000 
          30.          220.       1.00105         0.000        9.5726         0.000 
          40.          220.       1.00105         0.000        9.5726         0.000 
          50.          220.       1.00105         0.000        9.5726         0.000 
          60.          220.       1.00105         0.000        9.5726         0.000 
          70.          220.       1.00105         0.000        9.5726         0.000 
          80.          220.       1.00105         0.000        9.5726         0.000 
          90.          220.       1.00105         0.000        9.5726         0.000 
         100.          220.       1.00105         0.000        9.5726         0.000 
         110.          220.       1.00105         0.000        9.5726         0.000 
         120.          220.       1.00105         0.000        9.5726         0.000 
         130.          220.       1.00105         0.000        9.5726         0.000 
         140.          220.       1.00105         0.000        9.5726         0.000 
         150.          220.       1.00105         0.000        9.5726         0.000 
         160.          220.       1.00105         0.000        9.5726         0.000 
         170.          220.       1.00105         0.000        9.5726         0.000 
         180.          220.       1.00105         0.000        9.5726         0.000 
         190.          220.       1.00104         0.000        9.5726         0.000 
         200.          220.       1.00104         0.000        9.5726         0.000 
         210.          220.       1.00104         0.000        9.5726         0.000 
         220.          220.       1.00104         0.000        9.5726         0.000 
         230.          220.       1.00104         0.000        9.5726         0.000 
         240.          220.       1.00104         0.000        9.5726         0.000 
         250.          220.       1.00104         0.000        9.5726         0.000 
         260.          220.       1.00104         0.000        9.5726         0.000 
         270.          220.       1.00104         0.000        9.5726         0.000 
         280.          220.       1.00104         0.000        9.5726         0.000 
         290.          220.       1.00104         0.000        9.5726         0.000 
         300.          220.       1.00104         0.000        9.5726         0.000 
         310.          220.       1.00104         0.000        9.5726         0.000 
         320.          220.       1.00104         0.000        9.5726         0.000 
         330.          220.       1.00104         0.000        9.5726         0.000 
         340.          220.       1.00103         0.000        9.5726         0.000 
         350.          220.       1.00103         0.000        9.5726         0.000 
         360.          220.       1.00103         0.000        9.5726         0.000 
         370.          220.       1.00103         0.000        9.5726         0.000 
         380.          220.       1.00103         0.000        9.5726         0.000 
         390.          220.       1.00103         0.000        9.5726         0.000 
         400.          220.       1.00103         0.000        9.5726         0.000 
         410.          220.       1.00103         0.000        9.5726         0.000 
         420.          220.       1.00103         0.000        9.5726         0.000 
         430.          220.       1.00103         0.000        9.5726         0.000 
         440.          220.       1.00103         0.000        9.5726         0.000 
         450.          220.       1.00103         0.000        9.5726         0.000 
         460.          220.       1.00103         0.000        9.5726         0.000 
         470.          220.       1.00103         0.000        9.5726         0.000 
         480.          220.       1.00103         0.000        9.5726         0.000 
         490.          220.       1.00103         0.000        9.5726         0.000 
         500.          220.       1.00102         0.000        9.5726         0.000 
         510.          220.       1.00102         0.000        9.5726         0.000 
         520.          220.       1.00102         0.000        9.5726         0.000 
         530.          220.       1.00102         0.000        9.5726         0.000 
         540.          220.       1.00102         0.000        9.5726         0.000 
         550.          220.       1.00102       360.000        9.5726       360.000 
         560.          220.       1.00102       360.000        9.5726       360.000 
         570.          220.       1.00102       360.000        9.5726       360.000 
         580.          220.       1.00102         0.000        9.5726         0.000 
         590.          220.       1.00102         0.001        9.5726         0.001 
         600.          220.       1.00100         0.003        9.5726         0.003 
         610.          220.       1.00097         0.006        9.5726         0.006 
         620.          220.       1.00091         0.012        9.5726         0.012 
         630.          220.       1.00082         0.019        9.5726         0.019 
         640.          220.       1.00069         0.029        9.5726         0.029 
         650.          220.       1.00052         0.043        9.5726         0.043 
         660.          220.       1.00029         0.059        9.5726         0.059 
         670.          220.       1.00001         0.078        9.5726         0.078 
         680.          220.       0.99966         0.101        9.5726         0.101 
         690.          220.       0.99926         0.126        9.5726         0.126 
         700.          220.       0.99880         0.154        9.5726         0.154 
         710.          220.       0.99828         0.185        9.5726         0.185 
         720.          220.       0.99770         0.218        9.5726         0.218 
         730.          220.       0.99706         0.253        9.5726         0.253 
         740.          220.       0.99637         0.289        9.5726         0.289 
         750.          220.       0.99564         0.327        9.5726         0.327 
         760.          220.       0.99487         0.365        9.5726         0.365 
         770.          220.       0.99405         0.405        9.5726         0.405 
         780.          220.       0.99320         0.445        9.5726         0.445 
         790.          220.       0.99233         0.485        9.5726         0.485 
         800.          220.       0.99142         0.526        9.5726         0.526 
         810.          220.       0.99050         0.566        9.5726         0.566 
         820.          220.       0.98955         0.607        9.5726         0.606 
         830.          220.       0.98859         0.647        9.5726         0.647 
         840.          220.       0.98762         0.686        9.5726         0.686 
         850.          220.       0.98663         0.726        9.5726         0.726 
         860.          220.       0.98564         0.764        9.5726         0.764 
         870.          220.       0.98465         0.803        9.5726         0.803 
         880.          220.       0.98365         0.840        9.5726         0.840 
         890.          220.       0.98265         0.877        9.5726         0.877 
         900.          220.       0.98166         0.913        9.5726         0.913 
         910.          220.       0.98066         0.948        9.5726         0.948 
         920.          220.       0.97967         0.982        9.5726         0.982 
         930.          220.       0.97869         1.016        9.5726         1.016 
         940.          220.       0.97772         1.048        9.5726         1.048 
         950.          220.       0.97675         1.080        9.5726         1.080 
         960.          220.       0.97580         1.110        9.5726         1.110 
         970.          220.       0.97486         1.140        9.5726         1.140 
         980.          220.       0.97393         1.168        9.5726         1.168 
         990.          220.       0.97301         1.196        9.5726         1.196 
        1000.          220.       0.97212         1.220        9.5726         1.220 
           0.          230.       1.00106         0.000        9.5726         0.000 
          10.          230.       1.00106         0.000        9.5726         0.000 
          20.          230.       1.00106         0.000        9.5726         0.000 
          30.          230.       1.00105         0.000        9.5726         0.000 
          40.          230.       1.00105         0.000        9.5726         0.000 
          50.          230.       1.00105         0.000        9.5726         0.000 
          60.          230.       1.00105         0.000        9.5726         0.000 
          70.          230.       1.00105         0.000        9.5726         0.000 
          80.          230.       1.00105         0.000        9.5726         0.000 
          90.          230.       1.00105         0.000        9.5726         0.000 
         100.          230.       1.00105         0.000        9.5726         0.000 
         110.          230.       1.00105         0.000        9.5726         0.000 
         120.          230.       1.00105         0.000        9.5726         0.000 
         130.          230.       1.00105         0.000        9.5726         0.000 
         140.          230.       1.00105         0.000        9.5726         0.000 
         150.          230.       1.00105         0.000        9.5726         0.000 
         160.          230.       1.00105         0.000        9.5726         0.000 
         170.          230.       1.00105         0.000        9.5726         0.000 
         180.          230.       1.00105         0.000        9.5726         0.000 
         190.          230.       1.00104         0.000        9.5726         0.000 
         200.          230.       1.00104         0.000        9.5726         0.000 
         210.          230.       1.00104         0.000        9.5726         0.000 
         220.          230.       1.00104         0.000        9.5726         0.000 
         230.          230.       1.00104         0.000        9.5726         0.000 
         240.          230.       1.00104         0.000        9.5726         0.000 
         250.          230.       1.00104         0.000        9.5726         0.000 
         260.          230.       1.00104         0.000        9.5726         0.000 
         270.          230.       1.00104         0.000        9.5726         0.000 
         280.          230.       1.00104         0.000        9.5726         0.000 
         290.          230.       1.00104         0.000        9.5726         0.000 
         300.          230.       1.00104         0.000        9.5726         0.000 
         310.          230.       1.00104         0.000        9.5726         0.000 
         320.          230.       1.00104         0.000        9.5726         0.000 
         330.          230.       1.00104         0.000        9.5726         0.000 
         340.          230.       1.00103         0.000        9.5726         0.000 
         350.          230.       1.00103         0.000        9.5726         0.000 
         360.          230.       1.00103         0.000        9.5726         0.000 
         370.          230.       1.00103         0.000        9.5726         0.000 
         380.          230.       1.00103         0.000        9.5726         0.000 
         390.          230.       1.00103         0.000        9.5726         0.000 
         400.          230.       1.00103         0.000        9.5726         0.000 
         410.          230.       1.00103         0.000        9.5726         0.000 
         420.          230.       1.00103         0.000        9.5726         0.000 
         430.          230.       1.00103         0.000        9.5726         0.000 
         440.          230.       1.00103         0.000        9.5726         0.000 
         450.          230.       1.00103         0.000        9.5726         0.000 
         460.          230.       1.00103         0.000        9.5726         0.000 
         470.          230.       1.00103         0.000        9.5726         0.000 
         480.          230.       1.00103         0.000        9.5726         0.000 
         490.          230.       1.00103         0.000        9.5726         0.000 
         500.          230.       1.00102         0.000        9.5726         0.000 
         510.          230.       1.00102         0.000        9.5726         0.000 
         520.          230.       1.00102         0.000        9.5726         0.000 
         530.          230.       1.00102         0.000        9.5726         0.000 
         540.          230.       1.00102       360.000        9.5726       360.000 
         550.          230.       1.00102       360.000        9.5726       360.000 
         560.          230.       1.00103       359.999        9.5726       359.999 
         570.          230.       1.00103       359.999        9.5726       359.999 
         580.          230.       1.00103         0.000        9.5726         0.000 
         590.          230.       1.00101         0.002        9.5726         0.002 
         600.          230.       1.00098         0.006        9.5726         0.006 
         610.          230.       1.00092         0.012        9.5726         0.012 
         620.          230.       1.00081         0.021        9.5726         0.021 
         630.          230.       1.00066         0.033        9.5726         0.033 
         640.          230.       1.00046         0.048        9.5726         0.048 
         650.          230.       1.00019         0.067        9.5726         0.067 
         660.          230.       0.99985         0.090        9.5726         0.090 
         670.          230.       0.99944         0.117        9.5726         0.117 
         680.          230.       0.99897         0.146        9.5726         0.146 
         690.          230.       0.99842         0.179        9.5726         0.179 
         700.          230.       0.99780         0.214        9.5726         0.214 
         710.          230.       0.99712         0.252        9.5726         0.252 
         720.          230.       0.99638         0.292        9.5726         0.292 
         730.          230.       0.99559         0.333        9.5726         0.333 
         740.          230.       0.99474         0.375        9.5726         0.375 
         750.          230.       0.99385         0.418        9.5726         0.418 
         760.          230.       0.99292         0.462        9.5726         0.462 
         770.          230.       0.99196         0.506        9.5726         0.506 
         780.          230.       0.99097         0.550        9.5726         0.550 
         790.          230.       0.98996         0.594        9.5726         0.593 
         800.          230.       0.98893         0.637        9.5726         0.637 
         810.          230.       0.98788         0.680        9.5726         0.680 
         820.          230.       0.98682         0.723        9.5726         0.723 
         830.          230.       0.98575         0.765        9.5726         0.765 
         840.          230.       0.98468         0.806        9.5726         0.806 
         850.          230.       0.98360         0.847        9.5726         0.847 
         860.          230.       0.98252         0.887        9.5726         0.887 
         870.          230.       0.98144         0.926        9.5726         0.926 
         880.          230.       0.98037         0.964        9.5726         0.964 
         890.          230.       0.97930         1.001        9.5726         1.001 
         900.          230.       0.97824         1.037        9.5726         1.037 
         910.          230.       0.97718         1.073        9.5726         1.073 
         920.          230.       0.97614         1.107        9.5726         1.107 
         930.          230.       0.97511         1.140        9.5726         1.140 
         940.          230.       0.97409         1.172        9.5726         1.172 
         950.          230.       0.97309         1.202        9.5726         1.202 
         960.          230.       0.97210         1.232        9.5726         1.232 
         970.          230.       0.97113         1.260        9.5726         1.260 
         980.          230.       0.97018         1.288        9.5726         1.287 
         990.          230.       0.96925         1.314        9.5726         1.313 
        1000.          230.       0.96835         1.336        9.5726         1.336 
           0.          240.       1.00106         0.000        9.5726         0.000 
          10.          240.       1.00106         0.000        9.5726         0.000 
          20.          240.       1.00106         0.000        9.5726         0.000 
          30.          240.       1.00105         0.000        9.5726         0.000 
          40.          240.       1.00105         0.000        9.5726         0.000 
          50.          240.       1.00105         0.000        9.5726         0.000 
          60.          240.       1.00105         0.000        9.5726         0.000 
          70.          240.       1.00105         0.000        9.5726         0.000 
          80.          240.       1.00105         0.000        9.5726         0.000 
          90.          240.       1.00105         0.000        9.5726         0.000 
         100.          240.       1.00105         0.000        9.5726         0.000 
         110.          240.       1.00105         0.000        9.5726         0.000 
         120.          240.       1.00105         0.000        9.5726         0.000 
         130.          240.       1.00105         0.000        9.5726         0.000 
         140.          240.       1.00105         0.000        9.5726         0.000 
         150.          240.       1.00105         0.000        9.5726         0.000 
         160.          240.       1.00105         0.000        9.5726         0.000 
         170.          240.       1.00105         0.000        9.5726         0.000 
         180.          240.       1.00105         0.000        9.5726         0.000 
         190.          240.       1.00104         0.000        9.5726         0.000 
         200.          240.       1.00104         0.000        9.5726         0.000 
         210.          240.       1.00104         0.000        9.5726         0.000 
         220.          240.       1.00104         0.000        9.5726         0.000 
         230.          240.       1.00104         0.000        9.5726         0.000 
         240.          240.       1.00104         0.000        9.5726         0.000 
         250.          240.       1.00104         0.000        9.5726         0.000 
         260.          240.       1.00104         0.000        9.5726         0.000 
         270.          240.       1.00104         0.000        9.5726         0.000 
         280.          240.       1.00104         0.000        9.5726         0.000 
         290.          240.       1.00104         0.000        9.5726         0.000 
         300.          240.       1.00104         0.000        9.5726         0.000 
         310.          240.       1.00104         0.000        9.5726         0.000 
         320.          240.       1.00104         0.000        9.5726         0.000 
         330.          240.       1.00104         0.000        9.5726         0.000 
         340.          240.       1.00103         0.000        9.5726         0.000 
         350.          240.       1.00103         0.000        9.5726         0.000 
         360.          240.       1.00103         0.000        9.5726         0.000 
         370.          240.       1.00103         0.000        9.5726         0.000 
         380.          240.       1.00103         0.000        9.5726         0.000 
         390.          240.       1.00103         0.000        9.5726         0.000 
         400.          240.       1.00103         0.000        9.5726         0.000 
         410.          240.       1.00103         0.000        9.5726         0.000 
         420.          240.       1.00103         0.000        9.5726         0.000 
         430.          240.       1.00103         0.000        9.5726         0.000 
         440.          240.       1.00103         0.000        9.5726         0.000 
         450.          240.       1.00103         0.000        9.5726         0.000 
         460.          240.       1.00103         0.000        9.5726         0.000 
         470.          240.       1.00103         0.000        9.5726         0.000 
         480.          240.       1.00103         0.000        9.5726         0.000 
         490.          240.       1.00102         0.000        9.5726         0.000 
         500.          240.       1.00102         0.000        9.5726         0.000 
         510.          240.       1.00102         0.000        9.5726         0.000 
         520.          240.       1.00102         0.000        9.5726         0.000 
         530.          240.       1.00102       360.000        9.5726       360.000 
         540.          240.       1.00103       359.999        9.5726       359.999 
         550.          240.       1.00104       359.999        9.5726       359.999 
         560.          240.       1.00104       359.998        9.5726       359.998 
         570.          240.       1.00105       359.999        9.5726       359.999 
         580.          240.       1.00104         0.001        9.5726         0.001 
         590.          240.       1.00100         0.005        9.5726         0.005 
         600.          240.       1.00093         0.012        9.5726         0.012 
         610.          240.       1.00081         0.023        9.5726         0.023 
         620.          240.       1.00063         0.037        9.5726         0.037 
         630.          240.       1.00038         0.056        9.5726         0.056 
         640.          240.       1.00006         0.078        9.5726         0.078 
         650.          240.       0.99965         0.105        9.5726         0.105 
         660.          240.       0.99916         0.137        9.5726         0.137 
         670.          240.       0.99859         0.171        9.5726         0.171 
         680.          240.       0.99794         0.210        9.5726         0.210 
         690.          240.       0.99721         0.251        9.5726         0.251 
         700.          240.       0.99640         0.294        9.5726         0.294 
         710.          240.       0.99554         0.339        9.5726         0.339 
         720.          240.       0.99461         0.385        9.5726         0.385 
         730.          240.       0.99363         0.433        9.5726         0.433 
         740.          240.       0.99261         0.481        9.5726         0.481 
         750.          240.       0.99155         0.529        9.5726         0.529 
         760.          240.       0.99046         0.577        9.5726         0.577 
         770.          240.       0.98935         0.625        9.5726         0.625 
         780.          240.       0.98821         0.672        9.5726         0.672 
         790.          240.       0.98706         0.719        9.5726         0.719 
         800.          240.       0.98590         0.765        9.5726         0.765 
         810.          240.       0.98473         0.810        9.5726         0.810 
         820.          240.       0.98356         0.854        9.5726         0.854 
         830.          240.       0.98239         0.898        9.5726         0.898 
         840.          240.       0.98122         0.940        9.5726         0.940 
         850.          240.       0.98005         0.982        9.5726         0.982 
         860.          240.       0.97889         1.022        9.5726         1.022 
         870.          240.       0.97774         1.061        9.5726         1.061 
         880.          240.       0.97660         1.099        9.5726         1.099 
         890.          240.       0.97547         1.136        9.5726         1.136 
         900.          240.       0.97435         1.172        9.5726         1.172 
         910.          240.       0.97325         1.206        9.5726         1.206 
         920.          240.       0.97217         1.239        9.5726         1.239 
         930.          240.       0.97110         1.271        9.5726         1.271 
         940.          240.       0.97005         1.302        9.5726         1.302 
         950.          240.       0.96902         1.331        9.5726         1.331 
         960.          240.       0.96801         1.360        9.5726         1.359 
         970.          240.       0.96702         1.386        9.5726         1.386 
         980.          240.       0.96606         1.412        9.5726         1.412 
         990.          240.       0.96511         1.436        9.5726         1.436 
        1000.          240.       0.96422         1.456        9.5726         1.456 
           0.          250.       1.00106         0.000        9.5726         0.000 
          10.          250.       1.00106         0.000        9.5726         0.000 
          20.          250.       1.00106         0.000        9.5726         0.000 
          30.          250.       1.00105         0.000        9.5726         0.000 
          40.          250.       1.00105         0.000        9.5726         0.000 
          50.          250.       1.00105         0.000        9.5726         0.000 
          60.          250.       1.00105         0.000        9.5726         0.000 
          70.          250.       1.00105         0.000        9.5726         0.000 
          80.          250.       1.00105         0.000        9.5726         0.000 
          90.          250.       1.00105         0.000        9.5726         0.000 
         100.          250.       1.00105         0.000        9.5726         0.000 
         110.          250.       1.00105         0.000        9.5726         0.000 
         120.          250.       1.00105         0.000        9.5726         0.000 
         130.          250.       1.00105         0.000        9.5726         0.000 
         140.          250.       1.00105         0.000        9.5726         0.000 
         150.          250.       1.00105         0.000        9.5726         0.000 
         160.          250.       1.00105         0.000        9.5726         0.000 
         170.          250.       1.00105         0.000        9.5726         0.000 
         180.          250.       1.00105         0.000        9.5726         0.000 
         190.          250.       1.00104         0.000        9.5726         0.000 
         200.          250.       1.00104         0.000        9.5726         0.000 
         210.          250.       1.00104         0.000        9.5726         0.000 
         220.          250.       1.00104         0.000        9.5726         0.000 
         230.          250.       1.00104         0.000        9.5726         0.000 
         240.          250.       1.00104         0.000        9.5726         0.000 
         250.          250.       1.00104         0.000        9.5726         0.000 
         260.          250.       1.00104         0.000        9.5726         0.000 
         270.          250.       1.00104         0.000        9.5726         0.000 
         280.          250.       1.00104         0.000        9.5726         0.000 
         290.          250.       1.00104         0.000        9.5726         0.000 
         300.          250.       1.00104         0.000        9.5726         0.000 
         310.          250.       1.00104         0.000        9.5726         0.000 
         320.          250.       1.00104         0.000        9.5726         0.000 
         330.          250.       1.00104         0.000        9.5726         0.000 
         340.          250.       1.00103         0.000        9.5726         0.000 
         350.          250.       1.00103         0.000        9.5726         0.000 
         360.          250.       1.00103         0.000        9.5726         0.000 
         370.          250.       1.00103         0.000        9.5726         0.000 
         380.          250.       1.00103         0.000        9.5726         0.000 
         390.          250.       1.00103         0.000        9.5726         0.000 
         400.          250.       1.00103         0.000        9.5726         0.000 
         410.          250.       1.00103         0.000        9.5726         0.000 
         420.          250.       1.00103         0.000        9.5726         0.000 
         430.          250.       1.00103         0.000        9.5726         0.000 
         440.          250.       1.00103         0.000        9.5726         0.000 
         450.          250.       1.00103         0.000        9.5726         0.000 
         460.          250.       1.00103         0.000        9.5726         0.000 
         470.          250.       1.00103         0.000        9.5726         0.000 
         480.          250.       1.00102         0.000        9.5726         0.000 
         490.          250.       1.00102         0.000        9.5726         0.000 
         500.          250.       1.00102         0.000        9.5726         0.000 
         510.          250.       1.00102         0.000        9.5726         0.000 
         520.          250.       1.00102       360.000        9.5726       360.000 
         530.          250.       1.00103       359.999        9.5726       359.999 
         540.          250.       1.00104       359.998        9.5726       359.998 
         550.          250.       1.00106       359.997        9.5726       359.997 
         560.          250.       1.00107       359.998        9.5726       359.998 
         570.          250.       1.00107       360.000        9.5726       360.000 
         580.          250.       1.00103         0.004        9.5726         0.004 
         590.          250.       1.00095         0.013        9.5726         0.013 
         600.          250.       1.00081         0.025        9.5726         0.025 
         610.          250.       1.00059         0.043        9.5726         0.043 
         620.          250.       1.00029         0.065        9.5726         0.065 
         630.          250.       0.99989         0.093        9.5726         0.093 
         640.          250.       0.99940         0.125        9.5726         0.125 
         650.          250.       0.99880         0.162        9.5726         0.162 
         660.          250.       0.99811         0.203        9.5726         0.203 
         670.          250.       0.99732         0.248        9.5726         0.248 
         680.          250.       0.99644         0.296        9.5726         0.296 
         690.          250.       0.99549         0.346        9.5726         0.346 
         700.          250.       0.99447         0.397        9.5726         0.397 
         710.          250.       0.99339         0.450        9.5726         0.449 
         720.          250.       0.99225         0.503        9.5726         0.503 
         730.          250.       0.99108         0.556        9.5726         0.556 
         740.          250.       0.98987         0.609        9.5726         0.609 
         750.          250.       0.98863         0.661        9.5726         0.661 
         760.          250.       0.98738         0.713        9.5726         0.713 
         770.          250.       0.98611         0.764        9.5726         0.764 
         780.          250.       0.98483         0.813        9.5726         0.813 
         790.          250.       0.98355         0.862        9.5726         0.862 
         800.          250.       0.98226         0.910        9.5726         0.910 
         810.          250.       0.98098         0.956        9.5726         0.956 
         820.          250.       0.97971         1.001        9.5726         1.001 
         830.          250.       0.97844         1.045        9.5726         1.045 
         840.          250.       0.97719         1.087        9.5726         1.087 
         850.          250.       0.97594         1.129        9.5726         1.128 
         860.          250.       0.97471         1.168        9.5726         1.168 
         870.          250.       0.97350         1.207        9.5726         1.207 
         880.          250.       0.97231         1.244        9.5726         1.244 
         890.          250.       0.97113         1.280        9.5726         1.280 
         900.          250.       0.96997         1.315        9.5726         1.315 
         910.          250.       0.96883         1.348        9.5726         1.348 
         920.          250.       0.96772         1.380        9.5726         1.379 
         930.          250.       0.96663         1.410        9.5726         1.410 
